 VDS(V)  ID(V), VG = 2.0  VDS(V)  ID(V), VG = 4.0  VDS(V)  ID(V), VG = 6.0  VDS(V)  ID(V), VG = 8.0  VDS(V)  ID(V), VG = 10.0  VDS(V)  ID(V), VG = 12.0
    0.1         0.000002     0.1         0.000004     0.1         0.000005     0.1         0.000006     0.1          0.000008     0.1          0.000009
    0.2         0.000004     0.2         0.000007     0.2         0.000010     0.2         0.000013     0.2          0.000015     0.2          0.000018
    0.3         0.000006     0.3         0.000010     0.3         0.000015     0.3         0.000019     0.3          0.000023     0.3          0.000027
    0.4         0.000008     0.4         0.000014     0.4         0.000019     0.4         0.000025     0.4          0.000031     0.4          0.000036
    0.5         0.000010     0.5         0.000017     0.5         0.000024     0.5         0.000031     0.5          0.000038     0.5          0.000045
    0.6         0.000011     0.6         0.000020     0.6         0.000028     0.6         0.000037     0.6          0.000045     0.6          0.000054
    0.7         0.000013     0.7         0.000023     0.7         0.000033     0.7         0.000043     0.7          0.000053     0.7          0.000063
    0.8         0.000015     0.8         0.000026     0.8         0.000037     0.8         0.000049     0.8          0.000060     0.8          0.000071
    0.9         0.000016     0.9         0.000029     0.9         0.000042     0.9         0.000054     0.9          0.000067     0.9          0.000080
    1.0         0.000018     1.0         0.000032     1.0         0.000046     1.0         0.000060     1.0          0.000074     1.0          0.000088
    1.1         0.000019     1.1         0.000035     1.1         0.000050     1.1         0.000066     1.1          0.000081     1.1          0.000097
    1.2         0.000020     1.2         0.000037     1.2         0.000054     1.2         0.000071     1.2          0.000088     1.2          0.000105
    1.3         0.000022     1.3         0.000040     1.3         0.000058     1.3         0.000077     1.3          0.000095     1.3          0.000114
    1.4         0.000023     1.4         0.000043     1.4         0.000062     1.4         0.000082     1.4          0.000102     1.4          0.000122
    1.5         0.000024     1.5         0.000045     1.5         0.000066     1.5         0.000088     1.5          0.000109     1.5          0.000130
    1.6         0.000025     1.6         0.000048     1.6         0.000070     1.6         0.000093     1.6          0.000116     1.6          0.000138
    1.7         0.000026     1.7         0.000050     1.7         0.000074     1.7         0.000098     1.7          0.000122     1.7          0.000146
    1.8         0.000027     1.8         0.000052     1.8         0.000078     1.8         0.000103     1.8          0.000129     1.8          0.000154
    1.9         0.000028     1.9         0.000054     1.9         0.000081     1.9         0.000108     1.9          0.000135     1.9          0.000162
    2.0         0.000028     2.0         0.000057     2.0         0.000085     2.0         0.000113     2.0          0.000142     2.0          0.000170
    2.1         0.000029     2.1         0.000059     2.1         0.000088     2.1         0.000118     2.1          0.000148     2.1          0.000178
    2.2         0.000030     2.2         0.000061     2.2         0.000092     2.2         0.000123     2.2          0.000154     2.2          0.000185
    2.3         0.000030     2.3         0.000063     2.3         0.000095     2.3         0.000128     2.3          0.000160     2.3          0.000193
    2.4         0.000031     2.4         0.000065     2.4         0.000099     2.4         0.000133     2.4          0.000167     2.4          0.000201
    2.5         0.000031     2.5         0.000066     2.5         0.000102     2.5         0.000137     2.5          0.000173     2.5          0.000208
    2.6         0.000031     2.6         0.000068     2.6         0.000105     2.6         0.000142     2.6          0.000179     2.6          0.000215
    2.7         0.000032     2.7         0.000070     2.7         0.000108     2.7         0.000146     2.7          0.000184     2.7          0.000223
    2.8         0.000032     2.8         0.000071     2.8         0.000111     2.8         0.000151     2.8          0.000190     2.8          0.000230
    2.9         0.000032     2.9         0.000073     2.9         0.000114     2.9         0.000155     2.9          0.000196     2.9          0.000237
    3.0         0.000032     3.0         0.000074     3.0         0.000117     3.0         0.000159     3.0          0.000202     3.0          0.000244
    3.1         0.000032     3.1         0.000076     3.1         0.000120     3.1         0.000164     3.1          0.000207     3.1          0.000251
    3.2         0.000032     3.2         0.000077     3.2         0.000122     3.2         0.000168     3.2          0.000213     3.2          0.000258
    3.3         0.000032     3.3         0.000078     3.3         0.000125     3.3         0.000172     3.3          0.000218     3.3          0.000265
    3.4         0.000032     3.4         0.000079     3.4         0.000128     3.4         0.000176     3.4          0.000224     3.4          0.000272
    3.5         0.000032     3.5         0.000081     3.5         0.000130     3.5         0.000180     3.5          0.000229     3.5          0.000279
    3.6         0.000032     3.6         0.000082     3.6         0.000133     3.6         0.000184     3.6          0.000234     3.6          0.000285
    3.7         0.000032     3.7         0.000083     3.7         0.000135     3.7         0.000187     3.7          0.000240     3.7          0.000292
    3.8         0.000032     3.8         0.000083     3.8         0.000137     3.8         0.000191     3.8          0.000245     3.8          0.000299
    3.9         0.000032     3.9         0.000084     3.9         0.000139     3.9         0.000195     3.9          0.000250     3.9          0.000305
    4.0         0.000032     4.0         0.000085     4.0         0.000142     4.0         0.000198     4.0          0.000255     4.0          0.000312
    4.1         0.000032     4.1         0.000086     4.1         0.000144     4.1         0.000202     4.1          0.000260     4.1          0.000318
    4.2         0.000032     4.2         0.000086     4.2         0.000146     4.2         0.000205     4.2          0.000265     4.2          0.000324
    4.3         0.000032     4.3         0.000087     4.3         0.000148     4.3         0.000209     4.3          0.000269     4.3          0.000330
    4.4         0.000032     4.4         0.000087     4.4         0.000150     4.4         0.000212     4.4          0.000274     4.4          0.000336
    4.5         0.000032     4.5         0.000088     4.5         0.000151     4.5         0.000215     4.5          0.000279     4.5          0.000342
    4.6         0.000032     4.6         0.000088     4.6         0.000153     4.6         0.000218     4.6          0.000283     4.6          0.000348
