 ID(V), VGS = 2.0   VDS(V)  ID(V), VGS = 4.0   VDS(V)  ID(V), VGS = 6.0   VDS(V)  ID(V), VGS = 8.0   VDS(V)  ID(V), VGS = 10.0   VDS(V)  ID(V), VGS = 12.0   VDS(V)
              0.0 0.000004               0.0 0.000004               0.0 0.000004               0.0 0.000004                0.0 0.000004                0.0 0.000004
              0.1 0.000004               0.1 0.000004               0.1 0.000004               0.1 0.000004                0.1 0.000004                0.1 0.000004
              0.2 0.000005               0.2 0.000005               0.2 0.000005               0.2 0.000005                0.2 0.000005                0.2 0.000005
              0.3 0.000006               0.3 0.000006               0.3 0.000006               0.3 0.000006                0.3 0.000006                0.3 0.000006
              0.4 0.000007               0.4 0.000007               0.4 0.000007               0.4 0.000007                0.4 0.000007                0.4 0.000007
              0.5 0.000008               0.5 0.000008               0.5 0.000008               0.5 0.000008                0.5 0.000008                0.5 0.000008
              0.6 0.000009               0.6 0.000009               0.6 0.000009               0.6 0.000009                0.6 0.000009                0.6 0.000009
              0.7 0.000010               0.7 0.000010               0.7 0.000010               0.7 0.000010                0.7 0.000010                0.7 0.000010
              0.8 0.000011               0.8 0.000011               0.8 0.000011               0.8 0.000011                0.8 0.000011                0.8 0.000011
              0.9 0.000013               0.9 0.000013               0.9 0.000013               0.9 0.000013                0.9 0.000013                0.9 0.000013
              1.0 0.000014               1.0 0.000014               1.0 0.000014               1.0 0.000014                1.0 0.000014                1.0 0.000014
              1.1 0.000016               1.1 0.000016               1.1 0.000016               1.1 0.000016                1.1 0.000016                1.1 0.000016
              1.2 0.000017               1.2 0.000017               1.2 0.000017               1.2 0.000017                1.2 0.000017                1.2 0.000017
              1.3 0.000018               1.3 0.000019               1.3 0.000019               1.3 0.000019                1.3 0.000019                1.3 0.000019
              1.4 0.000020               1.4 0.000020               1.4 0.000020               1.4 0.000020                1.4 0.000020                1.4 0.000020
              1.5 0.000021               1.5 0.000022               1.5 0.000022               1.5 0.000022                1.5 0.000022                1.5 0.000022
              1.6 0.000023               1.6 0.000024               1.6 0.000024               1.6 0.000024                1.6 0.000024                1.6 0.000024
              1.7 0.000024               1.7 0.000026               1.7 0.000026               1.7 0.000026                1.7 0.000026                1.7 0.000026
              1.8 0.000025               1.8 0.000028               1.8 0.000028               1.8 0.000028                1.8 0.000028                1.8 0.000028
              1.9 0.000027               1.9 0.000030               1.9 0.000030               1.9 0.000030                1.9 0.000030                1.9 0.000030
              2.0 0.000028               2.0 0.000032               2.0 0.000032               2.0 0.000032                2.0 0.000032                2.0 0.000032
              2.1 0.000030               2.1 0.000034               2.1 0.000034               2.1 0.000034                2.1 0.000034                2.1 0.000034
              2.2 0.000031               2.2 0.000036               2.2 0.000036               2.2 0.000036                2.2 0.000036                2.2 0.000036
              2.3 0.000033               2.3 0.000039               2.3 0.000039               2.3 0.000039                2.3 0.000039                2.3 0.000039
              2.4 0.000034               2.4 0.000041               2.4 0.000041               2.4 0.000041                2.4 0.000041                2.4 0.000041
              2.5 0.000035               2.5 0.000043               2.5 0.000043               2.5 0.000043                2.5 0.000043                2.5 0.000043
              2.6 0.000037               2.6 0.000046               2.6 0.000046               2.6 0.000046                2.6 0.000046                2.6 0.000046
              2.7 0.000038               2.7 0.000048               2.7 0.000048               2.7 0.000048                2.7 0.000048                2.7 0.000048
              2.8 0.000040               2.8 0.000051               2.8 0.000051               2.8 0.000051                2.8 0.000051                2.8 0.000051
              2.9 0.000041               2.9 0.000054               2.9 0.000054               2.9 0.000054                2.9 0.000054                2.9 0.000054
              3.0 0.000042               3.0 0.000057               3.0 0.000057               3.0 0.000057                3.0 0.000057                3.0 0.000057
              3.1 0.000044               3.1 0.000059               3.1 0.000060               3.1 0.000060                3.1 0.000060                3.1 0.000060
              3.2 0.000045               3.2 0.000062               3.2 0.000062               3.2 0.000062                3.2 0.000062                3.2 0.000062
              3.3 0.000047               3.3 0.000065               3.3 0.000065               3.3 0.000065                3.3 0.000065                3.3 0.000065
              3.4 0.000048               3.4 0.000068               3.4 0.000069               3.4 0.000069                3.4 0.000069                3.4 0.000069
              3.5 0.000050               3.5 0.000071               3.5 0.000072               3.5 0.000072                3.5 0.000072                3.5 0.000072
              3.6 0.000051               3.6 0.000074               3.6 0.000075               3.6 0.000075                3.6 0.000075                3.6 0.000075
              3.7 0.000052               3.7 0.000076               3.7 0.000078               3.7 0.000078                3.7 0.000078                3.7 0.000078
              3.8 0.000054               3.8 0.000079               3.8 0.000082               3.8 0.000082                3.8 0.000082                3.8 0.000082
              3.9 0.000055               3.9 0.000082               3.9 0.000085               3.9 0.000085                3.9 0.000085                3.9 0.000085
              4.0 0.000057               4.0 0.000085               4.0 0.000089               4.0 0.000089                4.0 0.000089                4.0 0.000089
              4.1 0.000058               4.1 0.000088               4.1 0.000092               4.1 0.000092                4.1 0.000092                4.1 0.000092
